customer_id,customer_name,dob,sex,nationality
1001,cus_1,1969-09-11,Female,English
1002,cus_2,1970-07-18,Male,German
1003,cus_3,1967-11-29,Female,
1004,cus_4,1942-04-01,Other,Other
1005,cus_5,1995-08-12,Male,English
1006,cus_6,1948-03-05,Female,French
1007,cus_7,1950-12-14,Other,German
1008,cus_8,1945-01-11,Female,English
1009,cus_9,1992-09-27,Female,German
1010,cus_10,1972-10-27,Female,English
1011,cus_11,1966-02-14,Female,German
1012,cus_12,1980-08-12,Other,Italian
1013,cus_13,1947-05-15,Female,Italian
1014,cus_14,1980-07-23,Other,English
1015,cus_15,1973-09-27,Female,Italian
1016,cus_16,1943-05-18,Female,Other
1017,cus_17,1958-02-22,Female,Other
1018,cus_18,1941-01-21,Female,Other
1019,cus_19,1991-11-08,Male,Spanish
1020,cus_20,1993-02-21,Female,Italian
1021,cus_21,1946-05-16,Other,German
1022,cus_22,1990-10-13,Other,English
1023,cus_23,1975-01-15,Other,Spanish
1024,cus_24,1945-05-27,Male,Spanish
1025,cus_25,1963-09-19,Other,German
1026,cus_26,1960-06-04,Male,Italian
1027,cus_27,1987-01-27,Female,English
1028,cus_28,1984-12-11,Male,Other
1029,cus_29,1978-01-07,Male,Spanish
1030,cus_30,1959-04-14,Female,French
1031,cus_31,1998-07-23,Male,Italian
1032,cus_32,1980-09-10,Male,Italian
1033,cus_33,1971-06-05,Other,Spanish
1034,cus_34,1973-05-11,Female,German
1035,cus_35,1968-05-29,Male,Spanish
1036,cus_36,1947-08-23,Male,Spanish
1037,cus_37,1963-03-24,Other,French
1038,cus_38,1949-03-25,Female,Italian
1039,cus_39,1949-02-16,Male,English
1040,cus_40,1951-01-31,Female,German
1041,cus_41,1986-07-18,Female,Spanish
1042,cus_42,1986-10-22,Female,English
1043,cus_43,1990-07-06,Other,German
1044,cus_44,1951-05-14,Male,
1045,cus_45,1961-01-27,Other,French
1046,cus_46,1941-01-10,Male,French
1047,cus_47,1960-08-30,Male,German
1048,cus_48,1982-04-21,Other,Italian
1049,cus_49,1986-03-31,Other,Italian
1050,cus_50,1951-03-24,Other,German
1051,cus_51,1954-04-04,Other,German
1052,cus_52,1956-10-04,Other,Spanish
1053,cus_53,1955-01-09,Female,German
1054,cus_54,1950-12-20,Female,French
1055,cus_55,1999-11-21,Female,English
1056,cus_56,1998-07-02,Male,German
1057,cus_57,1972-04-08,Male,
1058,cus_58,1965-05-13,Other,German
1059,cus_59,1969-05-01,Other,English
1060,cus_60,1973-03-05,Female,English
1061,cus_61,1976-04-09,Other,Other
1062,cus_62,1949-06-09,Female,German
1063,cus_63,1972-11-02,Male,English
1064,cus_64,1963-08-30,Male,English
1065,cus_65,1976-12-08,Male,Spanish
1066,cus_66,1967-07-31,Female,Spanish
1067,cus_67,1984-06-16,Female,Spanish
1068,cus_68,1971-06-17,Other,Italian
1069,cus_69,1981-08-28,Other,Spanish
1070,cus_70,1948-05-06,Female,English
1071,cus_71,1975-01-11,Male,English
1072,cus_72,1988-12-10,Other,English
1073,cus_73,1956-02-12,Other,Italian
1074,cus_74,1976-09-15,Other,Other
1075,cus_75,1940-09-21,Male,Spanish
1076,cus_76,1999-02-22,Female,Spanish
1077,cus_77,1993-05-15,Female,English
1078,cus_78,1962-09-08,Other,English
1079,cus_79,1971-01-08,Other,English
1080,cus_80,1952-04-11,Female,French
1081,cus_81,1945-09-04,Other,German
1082,cus_82,1955-09-08,Male,German
1083,cus_83,1988-10-06,Male,Spanish
1084,cus_84,1950-06-04,Male,German
1085,cus_85,1982-11-27,Female,Italian
1086,cus_86,1944-04-24,Male,Other
1087,cus_87,1985-10-23,Female,Spanish
1088,cus_88,1943-07-16,Male,Italian
1089,cus_89,1985-05-08,,French
1090,cus_90,1967-04-09,Female,Spanish
1091,cus_91,1991-02-18,Other,Spanish
1092,cus_92,1993-12-18,Female,Other
1093,cus_93,1973-03-27,Other,German
1094,cus_94,1972-11-05,Female,German
1095,cus_95,1988-09-22,Other,French
1096,cus_96,1955-11-15,Female,French
1097,cus_97,1953-01-27,Male,Spanish
1098,cus_98,1976-06-16,Male,English
1099,cus_99,1960-02-05,Male,English
1100,cus_100,1988-02-24,Female,Italian
1101,cus_101,1960-01-24,Male,Italian
1102,cus_102,1957-09-28,Female,German
1103,cus_103,1967-06-10,Other,French
1104,cus_104,1966-11-09,Other,Italian
1105,cus_105,1985-12-11,Other,French
1106,cus_106,1960-11-28,Male,English
1107,cus_107,1966-01-22,Female,Spanish
1108,cus_108,1961-10-05,Male,English
1109,cus_109,1997-06-30,Female,English
1110,cus_110,1997-05-17,Other,German
1111,cus_111,1943-09-20,Male,French
1112,cus_112,1951-09-16,Male,Spanish
1113,cus_113,1999-11-11,Male,Italian
1114,cus_114,1969-04-05,Male,English
1115,cus_115,1987-01-17,Other,Other
1116,cus_116,1992-01-26,Female,German
1117,cus_117,1949-01-24,Other,Italian
1118,cus_118,1984-11-07,Other,Spanish
1119,cus_119,1965-02-19,Other,German
1120,cus_120,1965-10-30,Male,French
1121,cus_121,1978-06-22,Other,Italian
1122,cus_122,1962-02-14,Other,German
1123,cus_123,1986-01-20,Male,German
1124,cus_124,1980-02-22,Male,English
1125,cus_125,1961-02-06,Other,Spanish
1126,cus_126,1996-01-31,Female,English
1127,cus_127,1953-07-19,Other,Italian
1128,cus_128,1967-09-02,Other,French
1129,cus_129,1989-06-19,Female,Other
1130,cus_130,1950-07-18,Female,Spanish
1131,cus_131,1956-03-29,Female,Italian
1132,cus_132,1985-04-27,Other,Other
1133,cus_133,1942-06-16,Male,Spanish
1134,cus_134,1999-09-24,Female,Spanish
1135,cus_135,1982-11-06,Other,English
1136,cus_136,1986-02-08,Other,Spanish
1137,cus_137,1949-11-30,Female,French
1138,cus_138,1961-05-20,Other,German
1139,cus_139,1955-08-14,Male,German
1140,cus_140,1947-09-09,Male,German
1141,cus_141,1959-06-15,Other,French
1142,cus_142,1986-07-24,Other,German
1143,cus_143,1941-05-09,Female,English
1144,cus_144,1941-11-05,Female,German
1145,cus_145,1998-06-15,Other,German
1146,cus_146,1998-06-14,Female,Spanish
1147,cus_147,1975-09-05,Female,English
1148,cus_148,1965-07-13,Other,English
1149,cus_149,1966-07-01,Female,English
1150,cus_150,1953-01-26,Male,Italian
1151,cus_151,1981-12-13,Female,French
1152,cus_152,1956-09-03,Female,German
1153,cus_153,1994-10-24,Female,Spanish
1154,cus_154,1973-12-05,Female,German
1155,cus_155,1944-03-15,Female,Italian
1156,cus_156,1983-09-10,Other,French
1157,cus_157,1971-07-29,Male,Spanish
1158,cus_158,1976-07-11,Male,German
1159,cus_159,1982-08-16,Male,French
1160,cus_160,1980-05-07,Other,French
1161,cus_161,1950-10-10,Female,Other
1162,cus_162,1987-11-25,Other,German
1163,cus_163,1946-10-17,Male,German
1164,cus_164,1950-08-21,Female,German
1165,cus_165,1974-08-06,Female,English
1166,cus_166,1960-06-13,Female,Other
1167,cus_167,1984-04-19,Female,German
1168,cus_168,1968-02-24,Other,Spanish
1169,cus_169,1970-07-14,Male,Italian
1170,cus_170,1991-12-01,Female,Spanish
1171,cus_171,1998-07-17,Other,French
1172,cus_172,1995-08-03,Female,English
1173,cus_173,1942-06-12,Male,Spanish
1174,cus_174,1981-09-14,Male,English
1175,cus_175,1977-12-09,Other,Italian
1176,cus_176,1940-06-19,Female,Italian
1177,cus_177,1974-11-29,Other,Spanish
1178,cus_178,1963-08-03,Other,French
1179,cus_179,1947-06-03,Other,French
1180,cus_180,1974-12-19,Male,Spanish
1181,cus_181,1976-12-10,Male,Italian
1182,cus_182,1942-07-14,Other,Italian
1183,cus_183,1969-07-24,Female,French
1184,cus_184,1957-08-22,Male,Italian
1185,cus_185,1999-07-17,Male,Italian
1186,cus_186,1966-01-19,Female,French
1187,cus_187,1999-05-21,Other,Other
1188,cus_188,1959-08-09,Male,German
1189,cus_189,1968-11-13,Other,Italian
1190,cus_190,1948-05-20,Other,French
1191,cus_191,1982-01-21,Other,Spanish
1192,cus_192,1985-05-23,Other,English
1193,cus_193,1946-12-25,Other,Spanish
1194,cus_194,1991-05-08,Male,Spanish
1195,cus_195,1973-11-21,Male,Other
1196,cus_196,1995-12-27,Female,Spanish
1197,cus_197,1969-02-22,,French
1198,cus_198,1954-07-30,Male,English
1199,cus_199,1945-06-12,Male,German
1200,cus_200,1996-07-04,Other,German
1201,cus_201,1952-09-17,Other,English
1202,cus_202,1955-07-08,Female,German
1203,cus_203,1991-06-23,Other,Italian
1204,cus_204,1996-07-15,Male,Italian
1205,cus_205,1963-04-11,Other,French
1206,cus_206,1948-01-08,Female,Spanish
1207,cus_207,1943-10-30,Female,Italian
1208,cus_208,1946-02-07,Female,German
1209,cus_209,1953-01-19,Other,Spanish
1210,cus_210,1985-11-26,Other,Italian
1211,cus_211,1982-07-22,Female,Other
1212,cus_212,1974-06-18,Female,English
1213,cus_213,1950-06-16,Male,Other
1214,cus_214,1976-07-23,Male,Italian
1215,cus_215,1970-05-02,Female,Spanish
1216,cus_216,1951-11-16,Other,French
1217,cus_217,1977-09-21,Male,Spanish
1218,cus_218,1960-03-10,Male,Other
1219,cus_219,1953-07-14,Other,German
1220,cus_220,1966-11-30,Female,English
1221,cus_221,1958-07-23,Male,German
1222,cus_222,1947-12-24,Male,Spanish
1223,cus_223,1993-05-15,Other,English
1224,cus_224,1958-12-21,Male,Other
1225,cus_225,1953-01-15,Female,German
1226,cus_226,1978-02-14,Female,French
1227,cus_227,1983-05-18,Female,Spanish
1228,cus_228,1979-09-21,Female,French
1229,cus_229,1981-10-22,Other,Spanish
1230,cus_230,1941-07-26,Female,English
1231,cus_231,1972-12-12,Other,Italian
1232,cus_232,1971-11-23,Female,Spanish
1233,cus_233,1950-04-25,Male,English
1234,cus_234,1976-02-12,Male,French
1235,cus_235,1961-11-20,Female,Italian
1236,cus_236,1944-09-13,Male,English
1237,cus_237,1980-03-21,Male,German
1238,cus_238,1960-05-16,Other,Spanish
1239,cus_239,1994-10-12,Male,German
1240,cus_240,1957-04-15,Other,German
1241,cus_241,1991-08-27,Male,Spanish
1242,cus_242,1983-12-17,Male,German
1243,cus_243,1988-06-15,Female,French
1244,cus_244,1973-10-21,Male,German
1245,cus_245,1992-11-06,Male,English
1246,cus_246,1981-03-08,Other,Italian
1247,cus_247,1953-04-20,Female,Other
1248,cus_248,1990-05-19,Other,English
1249,cus_249,1970-12-07,Other,English
1250,cus_250,1964-04-08,Other,Spanish
1251,cus_251,1976-12-14,Female,Spanish
1252,cus_252,1961-10-13,Other,English
1253,cus_253,1972-07-24,Male,Italian
1254,cus_254,1964-10-18,Female,German
1255,cus_255,1964-08-15,Male,Other
1256,cus_256,1978-09-27,Male,English
1257,cus_257,1961-12-10,Other,English
1258,cus_258,1965-12-29,Female,English
1259,cus_259,1965-08-22,Male,Spanish
1260,cus_260,1942-11-01,Female,English
1261,cus_261,1948-10-05,Other,Other
1262,cus_262,1955-11-29,Other,Italian
1263,cus_263,1944-07-11,Female,Italian
1264,cus_264,1964-06-30,Female,French
1265,cus_265,1980-03-21,Female,French
1266,cus_266,1944-10-28,Other,French
1267,cus_267,1950-12-12,Male,Other
1268,cus_268,1973-11-24,Male,French
1269,cus_269,1946-11-05,Male,English
1270,cus_270,1949-06-27,Other,Italian
1271,cus_271,1992-04-26,Female,Other
1272,cus_272,1947-01-15,Male,French
1273,cus_273,1946-08-30,Female,Other
1274,cus_274,1956-08-05,Male,Other
1275,cus_275,1950-12-18,Other,Italian
1276,cus_276,1955-09-22,Other,Other
1277,cus_277,1997-01-01,Male,Italian
1278,cus_278,1955-08-12,Female,French
1279,cus_279,1960-05-14,Male,Spanish
1280,cus_280,1987-07-24,Female,Italian
1281,cus_281,1994-08-31,Female,Italian
1282,cus_282,1978-12-24,Other,Italian
1283,cus_283,1989-09-22,Female,Italian
1284,cus_284,1998-03-11,Other,German
1285,cus_285,1944-09-17,Male,Italian
1286,cus_286,1998-05-12,Male,Spanish
1287,cus_287,1991-01-10,Other,French
1288,cus_288,1988-03-12,Female,German
